recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets
REC0000001,combination,0,0,0,0,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000002,combination,0,0,0,2,milk cleanser,soothing moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000003,combination,0,0,0,5,salicylic acid cleanser,soothing moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000004,combination,0,0,1,5,hydrating cleanser,ceramide moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000005,combination,0,0,2,5,milk cleanser,ceramide moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000006,combination,0,0,3,4,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000007,combination,0,0,3,5,hydrating cleanser,rich cream moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000008,combination,0,0,4,0,acne control cleanser,ceramide moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000009,combination,0,0,4,3,acne control cleanser,rich cream moisturizer,centella serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000010,combination,0,0,4,5,ultra gentle cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
REC0000011,combination,0,0,5,2,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv
