routine_id,recommendation_rule_id,skin_type,acne_level_0_5,dryness_level_0_5,oiliness_level_0_5,sensitivity_level_0_5,recommended_cleanser,recommended_moisturizer,recommended_serum,recommended_spf,recommended_treatment,source_datasets,am_routine,pm_routine
RTN0000001,REC0000001,combination,0,0,0,0,ultra gentle cleanser,rich cream moisturizer,vitamin c serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50 matte,1) Cleanser: ultra gentle cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000002,REC0000002,combination,0,0,0,2,milk cleanser,soothing moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: centella serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: soothing moisturizer
RTN0000003,REC0000003,combination,0,0,0,5,salicylic acid cleanser,soothing moisturizer,centella serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: salicylic acid cleanser | 2) Serum: centella serum | 3) Moisturizer: soothing moisturizer | 4) SPF: spf50,1) Cleanser: salicylic acid cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: soothing moisturizer
RTN0000004,REC0000004,combination,0,0,1,5,hydrating cleanser,ceramide moisturizer,retinol serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: retinol serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: ceramide moisturizer
RTN0000005,REC0000005,combination,0,0,2,5,milk cleanser,ceramide moisturizer,vitamin c serum,spf50,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: milk cleanser | 2) Serum: vitamin c serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50,1) Cleanser: milk cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: ceramide moisturizer
RTN0000006,REC0000006,combination,0,0,3,4,acne control cleanser,oil free gel moisturizer,niacinamide serum,spf50 matte,anti aging routine,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: oil free gel moisturizer | 4) SPF: spf50 matte,1) Cleanser: acne control cleanser | 2) Treatment: anti aging routine | 3) Moisturizer: oil free gel moisturizer
RTN0000007,REC0000007,combination,0,0,3,5,hydrating cleanser,rich cream moisturizer,retinol serum,spf30,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: retinol serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf30,1) Cleanser: hydrating cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000008,REC0000008,combination,0,0,4,0,acne control cleanser,ceramide moisturizer,peptide serum,spf50,calming treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: peptide serum | 3) Moisturizer: ceramide moisturizer | 4) SPF: spf50,1) Cleanser: acne control cleanser | 2) Treatment: calming treatment | 3) Moisturizer: ceramide moisturizer
RTN0000009,REC0000009,combination,0,0,4,3,acne control cleanser,rich cream moisturizer,centella serum,spf50 matte,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: acne control cleanser | 2) Serum: centella serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50 matte,1) Cleanser: acne control cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
RTN0000010,REC0000010,combination,0,0,4,5,ultra gentle cleanser,light lotion moisturizer,niacinamide serum,mineral spf50,retinol treatment,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: ultra gentle cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: light lotion moisturizer | 4) SPF: mineral spf50,1) Cleanser: ultra gentle cleanser | 2) Treatment: retinol treatment | 3) Moisturizer: light lotion moisturizer
RTN0000011,REC0000011,combination,0,0,5,2,hydrating cleanser,rich cream moisturizer,niacinamide serum,spf50,benzoyl peroxide,skincare_datasets.xlsx::Recommendations|skincare_recommendations_dataset.csv,1) Cleanser: hydrating cleanser | 2) Serum: niacinamide serum | 3) Moisturizer: rich cream moisturizer | 4) SPF: spf50,1) Cleanser: hydrating cleanser | 2) Treatment: benzoyl peroxide | 3) Moisturizer: rich cream moisturizer
